Date,Time,HomeTeam,AwayTeam,League,MatchID,Status,EventID,DrawNo,HomeWin,Draw,AwayWin,Over25,Under25,Day,LeagueType,BetStatus,Priority,DataSource,CollectedAt
2024-12-18,02:00,Club Aurora,Nacional Potosi,45331,1954792,1,387876276,20241217,1.51,,3.38,,,Çarşamba,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,03:00,Guabira M.,Royal Pari,45331,1954790,1,387815320,20241217,1.71,,2.92,,,Çarşamba,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,12:30,Lecce U20,Torino U20,33585,1906371,1,387813854,20241217,1.85,,3.18,,,Çarşamba,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,12:30,S. Hiroshima (K),Omiya (K),33544,1917457,1,387870677,20241217,1.27,,3.44,,,Çarşamba,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,13:30,Myanmar,Laos,10085,1907617,1,387813888,20241217,1.49,,3.31,,,Çarşamba,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,14:30,Roma U20,Sampdoria U20,33585,1906368,1,387813956,20241217,1.24,,4.25,,,Çarşamba,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,14:30,Cesena U20,Lazio U20,33585,1906369,1,387815984,20241217,2.4,,3.16,,,Çarşamba,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,15:00,Barito Pute,Persib Bandung,974,1907616,1,387823267,20241217,4.83,,3.49,,,Çarşamba,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,15:05,AL Batin,AL Faisaly (SA),5576,1907643,1,387813990,20241217,3.02,,2.78,,,Çarşamba,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,15:15,Pdrm,Kelantan Utd,1822,1938240,1,387880794,20241217,1.26,,3.96,,,Çarşamba,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,15:35,Abha Club,AL Jabalain,5576,1907645,1,387815886,20241217,1.99,,2.96,,,Çarşamba,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,16:00,Bright Stars,Updf,22722,1907661,1,387878227,20241217,2.11,,2.72,,,Çarşamba,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,16:00,Bul,NEC,22722,1907662,1,387878261,20241217,2.91,,2.58,,,Çarşamba,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,16:00,Gor Mahia,Ulinzi Stars,22353,1957554,1,387878263,20241217,1.37,,3.18,,,Çarşamba,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,16:00,Filipinler,Vietnam,10085,1907618,1,387814058,20241217,5.03,,3.38,,,Çarşamba,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,16:00,Simba SC,Kengold,19114,1896634,1,387838134,20241217,,,7.48,,,Çarşamba,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,16:00,Kedah,Penang FA,1822,1938236,1,387862079,20241217,1.56,,3.27,,,Çarşamba,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,16:30,İnter U20,Udinese U20,33585,1906374,1,387814092,20241217,,,6.37,,,Çarşamba,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,16:30,Cremonese U20,AC Monza U20,33585,1906373,1,387855732,20241217,1.77,,3.24,,,Çarşamba,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,17:30,Rio Ave U23,Gil Vicente U23,38310,1907627,1,387814194,20241217,1.93,,3.24,,,Çarşamba,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,17:30,Academico V. U23,Vizela U23,38310,1907629,1,387814126,20241217,2.42,,3.01,,,Çarşamba,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,17:30,Famalicao U23,Leixoes U23,38310,1907630,1,387814160,20241217,1.26,,3.9,,,Çarşamba,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,17:30,Torreense U23,Braga U23,38310,1907628,1,387949527,20241217,1.75,,2.99,,,Çarşamba,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,17:55,AL Bukayriyah,AL Najma,5576,1907644,1,387814228,20241217,2.26,,2.74,,,Çarşamba,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,18:00,Sanatatea Cluj,Unirea U. 2018,10133,1907637,1,387835031,20241217,2.38,,2.72,,,Çarşamba,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,18:00,UTA Arad,Farul Cons.,10133,1907638,1,387839414,20241217,1.86,,2.88,,,Çarşamba,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,18:00,Politehnica Iasi,Hermannstadt,10133,1907639,1,387849337,20241217,2.37,,2.75,,,Çarşamba,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,18:00,Ofi Crete,Panachaiki 1891,3921,1943686,1,387576513,20241217,1.12,,4.44,,,Çarşamba,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,18:00,FK Jedinstvo UB,Kızıl Yıldız,5578,1948168,1,387873467,20241217,17.35,,13.25,,,Çarşamba,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,18:30,Genoa U20,Empoli U20,33585,1906366,1,388069025,20241217,1.52,,3.33,,,Çarşamba,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,18:30,Sassuolo U20,Milan U20,33585,1906367,1,387874541,20241217,1.81,,3.14,,,Çarşamba,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,20:00,Milan U23,Caldiero Terme,1795,1934811,1,387870507,20241217,1.64,,2.89,,,Çarşamba,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,20:00,Real Madrid,Pachuca,46701,1955417,1,387926613,20241217,1.06,,6.07,,,Çarşamba,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,20:00,Panionios,Asteras T.,3921,1943683,1,387820809,20241217,2.85,,2.75,,,Çarşamba,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,20:30,Atalanta,AC Cesena,605,1907626,1,387930370,20241217,1.07,,5.88,,,Çarşamba,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,20:30,AS Giana E.,AS Avellino 1912,1795,1934810,1,387870852,20241217,3.76,,2.92,,,Çarşamba,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,20:30,Stellenbosch,Mamel Sundow,742,1917458,1,387820795,20241217,3.49,,2.87,,,Çarşamba,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,20:45,Katwijk,Twente,1862,1906351,1,387819522,20241217,7.72,,4.9,,,Çarşamba,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,20:45,Barcelona (K),Man. City (K),10134,1907622,1,387690594,20241217,,,6.02,,,Çarşamba,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,20:45,St. Polten (K),Hammarby IF Dff (K),10134,1907621,1,387795588,20241217,4.02,,3.44,,,Çarşamba,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,21:00,FCSB,Un. Craiova,10133,1907635,1,388142689,20241217,1.98,,2.82,,,Çarşamba,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,21:00,AS Agricola B.,AFC Metalul Buzau,10133,1907634,1,387623703,20241217,11.85,,6.12,,,Çarşamba,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,21:00,D. Bükreş,P. Ploiesti,10133,1907636,1,387948343,20241217,2.18,,2.58,,,Çarşamba,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,21:00,Racing  Ferrol,Almeria,1951,1907652,1,388144835,20241217,3.66,,3.11,,,Çarşamba,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,22:00,Heracles,NEC Nijmegen,1862,1906352,1,387482180,20241217,2.45,,3.11,,,Çarşamba,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,22:00,Aswh,Heerenveen,1862,1906342,1,387557838,20241217,8.15,,5.15,,,Çarşamba,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,22:00,Amsterdamsche,Utrecht,1862,1906346,1,387842865,20241217,7.0,,4.56,,,Çarşamba,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,22:00,Bergantinos,RC Deportivo Fabril,10063,1934816,1,387961803,20241217,2.05,,2.77,,,Çarşamba,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,22:00,Brentford U21,Bournemouth U21,33362,1907613,1,387815920,20241217,1.52,,3.84,,,Çarşamba,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,22:00,Real Santa Cruz,Real Tomayapo,45331,1954787,1,387817989,20241217,2.93,,3.24,,,Çarşamba,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,22:00,Exeter City U21,Bromley U21,10220,1906325,1,387855659,20241217,1.44,,3.68,,,Çarşamba,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,22:00,Forest Green,Wolves U21,10322,1919762,1,387876776,20241217,2.06,,3.5,,,Çarşamba,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,22:00,S. Rotterdam,Go Ahead,1862,1906354,1,387820799,20241217,2.59,,3.11,,,Çarşamba,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,22:00,Aek,PAOK,3921,1943684,1,387820808,20241217,1.92,,2.88,,,Çarşamba,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,22:30,Goytre Utd,Cwmbran Celtic,22382,1953748,1,387878299,20241217,1.48,,3.51,,,Çarşamba,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,22:30,Arsenal,Crystal Palace,151,1907610,1,388012607,20241217,1.26,,4.1,,,Çarşamba,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,22:30,Valencia (K),Deportivo La Coruna (K),22622,1917460,1,387814298,20241217,1.77,,2.94,,,Çarşamba,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,22:30,Union Clodiense,Padova,10096,1948165,1,387815982,20241217,6.27,,3.31,,,Çarşamba,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,22:30,Altamura,Rimini 1912,1795,1934812,1,387871264,20241217,1.72,,2.8,,,Çarşamba,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,22:30,SS Arezzo,Trapani,1795,1934813,1,387871040,20241217,2.35,,2.75,,,Çarşamba,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,22:45,Newcastle Utd,Brentford,151,1907612,1,388031298,20241217,1.38,,3.92,,,Çarşamba,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,23:00,AS Roma,Sampdoria,605,1907625,1,388073424,20241217,1.16,,4.68,,,Çarşamba,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,23:00,Southampton,Liverpool,151,1907611,1,388052302,20241217,4.91,,4.35,,,Çarşamba,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,23:00,Monaco,PSG,381,1924913,1,388050316,20241217,3.32,,3.44,,,Çarşamba,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,23:00,AZ Alkmaar,Groningen,1862,1906341,1,387820798,20241217,1.34,,3.73,,,Çarşamba,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,23:00,Juventus (K),Valerenga (K),10134,1907619,1,387478562,20241217,1.43,,3.67,,,Çarşamba,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,23:00,Arsenal (K),B. Münih (K),10134,1907620,1,388073426,20241217,1.54,,3.34,,,Çarşamba,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,23:15,Mirandes,S. Gijon,1951,1907646,1,387685486,20241217,2.38,,2.51,,,Çarşamba,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,23:15,Malaga,C. Dep. Eldense,1951,1907655,1,387685528,20241217,2.06,,2.6,,,Çarşamba,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,23:30,Villarreal,Vallecano,129,1908812,1,388087066,20241217,1.61,,3.21,,,Çarşamba,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,23:30,Espanyol,Valencia,129,1917462,1,388086921,20241217,2.26,,2.61,,,Çarşamba,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-18,23:45,S. Lizbon,Santa Clara,1904,1930896,1,387832807,20241217,1.13,,4.75,,,Çarşamba,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,02:00,U. de Vinto,J. Wilsterman,45331,1954791,1,387834216,20241217,1.54,,3.14,,,Perşembe,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,03:30,Deportes Tol.,Atl Nacional,634,1947425,1,387482186,20241217,1.82,,2.67,,,Perşembe,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,03:30,O. Petrolero,Club Bolivar,45331,1954789,1,387835094,20241217,5.99,,4.58,,,Perşembe,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,03:30,Strongest,San Antonio Bulo Bulo,45331,1954786,1,387822979,20241217,,,6.08,,,Perşembe,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,05:00,D. Saprissa,CS Herediano,18502,1953719,1,387819626,20241217,1.42,,3.37,,,Perşembe,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,13:00,Keshla,Karabağ,1213,1907606,1,387890006,20241217,17.3,,5.8,,,Perşembe,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,18:00,Botev Plovdiv,Ludogorets,31585,1913449,1,387479286,20241217,3.26,,3.0,,,Perşembe,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,18:00,RSB Berkane,CODM Meknes,1858,1938244,1,387890066,20241217,1.15,,4.03,,,Perşembe,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,20:00,AS Far Rabat,Wydad,1858,1938242,1,387946154,20241217,2.07,,2.75,,,Perşembe,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,20:45,Noordwijk,Willem II,1862,1906344,1,387919421,20241217,5.41,,4.27,,,Perşembe,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,21:00,Cadiz,Burgos,1951,1907651,1,387949688,20241217,1.7,,2.95,,,Perşembe,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,21:00,El Zamalek,Ceramica Cleopatra,1273,1908775,1,387479472,20241217,1.67,,3.14,,,Perşembe,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,21:00,CS Afumati,A. Pitesti,10133,1907631,1,388130085,20241217,2.35,,2.74,,,Perşembe,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,21:00,Rapid 1923,Cluj,10133,1907632,1,387821528,20241217,2.27,,2.73,,,Perşembe,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,21:00,CSM Ceahlaul Piatra Neamt,Botosani,10133,1907633,1,387599695,20241217,4.09,,3.11,,,Perşembe,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,21:00,Elche,Santander,1951,1907648,1,387949690,20241217,1.66,,3.13,,,Perşembe,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,22:00,Rijnsburgse Boys,Volendam,1862,1906340,1,387811321,20241217,2.59,,3.39,,,Perşembe,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,22:00,Graafschap,Sparta Nijkerk,1862,1906349,1,387925856,20241217,1.08,,5.53,,,Perşembe,0,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,22:00,R. Casablanca,UTS U. Touarga,1858,1938241,1,387995905,20241217,1.55,,2.91,,,Perşembe,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,23:00,Inter,Udinese,605,1908810,1,388052042,20241217,1.15,,4.81,,,Perşembe,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,23:00,Tottenham,Man. Utd,151,1908778,1,388052268,20241217,2.06,,3.39,,,Perşembe,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,23:00,Chelsea,Shamrock R.,46196,1908790,1,388051930,20241217,,,11.4,,,Perşembe,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,23:00,Heidenheim,St. Gallen,46196,1908800,1,388051916,20241217,1.41,,3.71,,,Perşembe,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,23:00,Panathinaikos,Dinamo Minsk,46196,1908797,1,388056286,20241217,1.08,,5.43,,,Perşembe,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,23:00,Apoel,Astana,46196,1908801,1,388052063,20241217,1.24,,4.03,,,Perşembe,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,23:00,Cercle Brugge,Başakşehir,46196,1908798,1,387479912,20241217,1.89,,3.14,,,Perşembe,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,23:00,Djurgarden,L. Varşova,46196,1908799,1,388056445,20241217,1.97,,3.11,,,Perşembe,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,23:00,Hearts,Petrocub,46196,1908794,1,388056448,20241217,1.09,,5.1,,,Perşembe,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,23:00,J. Bialystok,O. Ljubljana,46196,1908792,1,388056451,20241217,1.93,,2.81,,,Perşembe,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,23:00,Larne,KAA Gent,46196,1908786,1,388051914,20241217,13.65,,6.83,,,Perşembe,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,23:00,LASK,Vikingur Rey,46196,1908787,1,388056443,20241217,1.49,,3.5,,,Perşembe,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,23:00,Lugano,Pafos,46196,1908802,1,388052013,20241217,1.82,,3.11,,,Perşembe,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,23:00,Molde,Mlada Boleslav,46196,1908793,1,388056426,20241217,1.28,,4.18,,,Perşembe,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,23:00,NK Celje,TNS,46196,1908796,1,388056439,20241217,1.24,,4.52,,,Perşembe,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,23:00,Tsc Backa T.,Noah,46196,1908789,1,388056449,20241217,1.88,,3.13,,,Perşembe,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,23:00,Real Betis,HJK Helsinki,46196,1908791,1,388056441,20241217,,,7.5,,,Perşembe,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,23:00,Rapid Wien,Kopenhag,46196,1908795,1,388056415,20241217,2.32,,2.93,,,Perşembe,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,23:00,V. Guimaraes,Fiorentina,46196,1908788,1,388052044,20241217,2.79,,2.84,,,Perşembe,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,23:15,Dep. La Coruna,Castellon,1951,1907647,1,388070274,20241217,1.86,,3.21,,,Perşembe,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,23:15,Huesca,Tenerife,1951,1907653,1,388070273,20241217,1.96,,2.59,,,Perşembe,1,0,0,Nesine,2024-12-18 01:45:13.971261
